,City,Lats,Lngs,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
357,Tabou,4.423,-7.3528,74.77,100,77,7.11,CI,1659644013
358,Pong,19.1493,100.2752,73.6,96,99,2.84,TH,1659644013
359,Carballo,43.213,-8.691,69.22,100,93,12.71,ES,1659644014
360,Lorengau,-2.0226,147.2712,81.05,100,81,8.05,PG,1659644014
361,Kieta,-6.2167,155.6333,78.69,96,83,3.29,PG,1659644015
362,San Rafael,-34.6177,-68.3301,62.85,2,32,8.68,AR,1659644015
363,Kirovskiy,45.0917,133.5136,69.51,100,97,5.26,RU,1659644016
364,Keti Bandar,24.1447,67.4497,82.38,69,81,9.42,PK,1659644016
365,Talnakh,69.4865,88.3972,61.21,100,77,5.57,RU,1659644017
366,Ixtapa,20.7,-105.2,91.22,40,62,9.22,MX,1659643832
367,Talcahuano,-36.7167,-73.1167,55.08,75,71,8.05,CL,1659644017
368,Karligan,14.975,122.0456,78.71,100,86,3.27,PH,1659644018
369,El Alto,-4.2714,-81.2147,76.66,63,73,15.26,PE,1659644018
370,Egvekinot,66.3167,-179.1667,49.19,85,78,2.37,RU,1659644019
371,Ola,59.5833,151.2833,57.15,100,95,8.99,RU,1659644019
372,Cherskiy,68.75,161.3,44.42,100,90,9.1,RU,1659644020
373,Boden,65.8252,21.6886,62.6,54,86,5.14,SE,1659644021
374,Zakopane,49.299,19.9489,65.14,26,67,4.29,PL,1659644005
375,Ajdabiya,30.7554,20.2263,83.37,0,55,15.08,LY,1659644022
376,Bugalagrande,4.2121,-76.1556,77.97,82,73,4.5,CO,1659644022
377,Sioux Lookout,50.1001,-91.917,74.34,56,36,5.37,CA,1659644023
378,Aksay,47.26,39.87,79.25,59,50,4.0,RU,1659644023
379,Hudson Bay,52.85,-102.3842,75.69,100,47,12.73,CA,1659644024
380,Tamandaré,-8.7597,-35.1047,76.46,8,77,9.22,BR,1659644024
381,Edson,53.5835,-116.4356,62.51,99,49,13.18,CA,1659644025
382,Chokwé,-24.5333,32.9833,70.38,8,54,5.88,MZ,1659644025
383,Novy Urengoy,66.0833,76.6333,64.04,100,67,9.57,RU,1659644026
384,Wajima,37.4,136.9,77.14,31,88,2.73,JP,1659643796
385,Gigmoto,13.7796,124.39,76.96,100,91,1.54,PH,1659644027
386,Rovnoye,50.7765,46.0509,72.97,16,61,10.54,RU,1659644027
387,Trofors,65.5333,13.4063,53.47,100,92,2.91,NO,1659644027
388,Bereda,43.2686,-7.5406,67.41,100,98,8.32,ES,1659644029
389,Pedernales,18.0384,-71.744,89.19,100,53,3.15,DO,1659644029
390,Pimentel,-6.8367,-79.9342,66.49,0,68,18.41,PE,1659644030
391,Gizo Government Station,-8.103,156.8419,81.59,9,75,5.93,SB,1659644030
392,Sovetskiy,61.3614,63.5842,63.48,46,61,4.81,RU,1659644031
393,Bayonet Point,28.3267,-82.6834,96.17,0,66,1.99,US,1659643912
394,Ibotirama,-12.1853,-43.2206,90.55,30,26,0.98,BR,1659644031
395,Camacha,33.0833,-16.3333,69.22,75,83,13.8,PT,1659644032
396,Yulara,-25.2406,130.9889,49.28,0,42,8.99,AU,1659644032
397,Rupert,42.6191,-113.6772,84.15,20,37,12.66,US,1659644033
398,Boyuibe,-20.4167,-63.2833,59.67,100,58,8.01,BO,1659644033
399,Ternate,0.8,127.4,79.09,98,81,4.18,ID,1659644034
400,Esim,4.8699,-2.2405,73.56,73,79,5.59,GH,1659644034
401,Borogontsy,62.6683,131.1683,60.98,43,93,4.88,RU,1659644035
402,Qeshm,26.9581,56.2719,89.47,1,81,9.78,IR,1659644035
403,Salinópolis,-0.6136,-47.3561,80.83,67,80,10.07,BR,1659644036
404,Vilyuysk,63.7553,121.6247,56.19,100,55,8.39,RU,1659644036
405,Okhotsk,59.3833,143.3,57.51,100,94,4.88,RU,1659644037
406,Enshi,30.3,109.4833,73.98,19,95,0.85,CN,1659644038
407,Biak,-0.9131,122.8766,73.67,55,76,6.04,ID,1659644038
408,Saldanha,-33.0117,17.9442,53.01,70,82,6.17,ZA,1659644039
409,Korla,41.7597,86.1469,82.72,1,32,2.39,CN,1659644039
410,Katsuura,35.1333,140.3,74.41,100,92,14.52,JP,1659644040
411,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,70.16,0,40,12.17,AR,1659644040
412,Port Augusta,-32.5,137.7667,47.68,7,76,11.03,AU,1659644040
413,Kuandian,40.7286,124.7847,72.64,100,97,3.27,CN,1659644041
414,Bingerville,5.3584,-3.8869,76.14,40,83,8.05,CI,1659644041
415,Faya,18.3851,42.4509,64.92,100,66,0.81,SA,1659644042
416,Taltal,-25.4,-70.4833,63.95,92,58,4.85,CL,1659643821
417,Cervo,43.6702,-7.4101,64.96,100,88,15.86,ES,1659644043
418,Payson,40.0444,-111.7321,96.4,75,31,6.91,US,1659643961
419,Coquimbo,-29.9533,-71.3436,60.53,0,67,11.5,CL,1659643996
420,Atar,20.5169,-13.0499,96.78,0,26,12.21,MR,1659644044
421,Kathu,7.9178,98.3332,86.76,100,76,5.44,TH,1659644045
422,Denpasar,-8.65,115.2167,74.77,7,82,2.66,ID,1659644046
423,Bolu Province,40.6667,31.5833,65.07,83,95,4.05,TR,1659644046
424,Satapuala,-13.8354,-171.9796,74.66,94,94,5.01,WS,1659644047
425,Tottori-shi,35.5,134.2333,76.19,9,89,5.23,JP,1659644047
426,Cerro de Pasco,-10.6833,-76.2667,48.81,92,51,12.77,PE,1659644048
427,Broken Hill,-31.95,141.4333,48.27,0,55,10.36,AU,1659643897
428,Yerbogachën,61.2767,108.0108,50.99,100,90,0.85,RU,1659644048
429,Ambulu,-8.345,113.6058,69.76,5,90,3.87,ID,1659644049
430,Snina,48.9886,22.151,69.33,14,99,5.21,SK,1659643908
431,Lewisporte,49.2499,-55.0482,82.11,68,35,6.17,CA,1659644050
432,Avera,33.194,-82.5271,96.31,63,45,6.76,US,1659644050
433,Wagar,16.1525,36.2032,91.89,82,41,5.23,SD,1659644051
434,Huarmey,-10.0681,-78.1522,68.54,35,69,11.32,PE,1659644051
435,Yomou,7.5603,-9.2653,69.58,85,99,2.84,GN,1659644052
436,Toowoomba,-27.55,151.9667,53.26,0,93,3.18,AU,1659644052
437,Bairiki Village,1.3292,172.9752,82.4,20,78,9.22,KI,1659644053
438,Chihuahua,28.5,-106.0,86.83,15,28,9.93,MX,1659644053
439,Dondo,-19.6094,34.7431,65.71,0,85,5.46,MZ,1659644054
440,Ballina,-28.8667,153.5667,61.02,1,97,13.85,AU,1659644054
441,Matagami,49.7502,-77.6328,68.5,58,37,6.51,CA,1659644055
442,Okha,53.5739,142.9478,55.08,100,97,12.39,RU,1659644055
443,Caiapônia,-16.9567,-51.8103,87.4,6,19,5.5,BR,1659644056
444,Erenhot,43.6475,111.9767,71.69,0,60,4.92,CN,1659644056
445,Coolum Beach,-26.5333,153.1,62.11,28,96,10.16,AU,1659644057
446,San Juan de Flores,14.2667,-87.0333,83.88,100,41,7.7,HN,1659644057
447,Gamba,-2.65,10.0,69.48,27,88,9.08,GA,1659644058
448,Darnah,32.767,22.6367,79.41,0,77,22.57,LY,1659644058
449,Lixouri,38.2019,20.4314,84.2,0,58,6.91,GR,1659644059
450,Zhengjiatun,43.5064,123.5064,74.32,65,95,13.33,CN,1659644060
451,Balancán,17.8,-91.5333,93.49,4,42,8.84,MX,1659644060
452,Hobyo,5.3505,48.5268,76.41,94,84,23.87,SO,1659644061
453,Blytheville,35.9273,-89.919,84.25,40,83,0.0,US,1659644061
454,Wanaka,-44.7,169.15,45.21,100,94,9.78,NZ,1659644062
455,Havelock,34.8791,-76.9013,92.05,71,76,3.0,US,1659644062
456,Lázaro Cárdenas,17.9583,-102.2,87.51,56,66,9.13,MX,1659643763
457,Moree,-29.4667,149.85,61.72,100,96,5.46,AU,1659644063
458,Solenzo,12.1833,-4.0833,79.84,80,75,8.5,BF,1659644063
459,Baculin,7.4525,126.5842,77.02,100,88,3.04,PH,1659644064
460,Chiang Klang,19.2938,100.8617,74.7,100,99,1.83,TH,1659644064
461,Abhā,18.2164,42.5053,64.65,20,77,8.05,SA,1659644065
462,Greenfield,42.9614,-88.0126,84.11,20,58,13.8,US,1659644065
463,Entebbe,0.0644,32.4469,71.53,0,68,5.84,UG,1659644066
464,Vangaindrano,-23.35,47.6,65.16,50,87,5.17,MG,1659644067
465,Lavrentiya,65.5833,-171.0,50.95,96,85,7.2,RU,1659644067
466,Aguililla,18.7333,-102.7333,85.21,23,50,1.39,MX,1659644067
467,Jiaxing,30.7522,120.75,80.35,2,80,7.52,CN,1659644068
468,Vicuña,-30.0319,-70.7081,75.78,0,18,3.49,CL,1659644068
469,Iaciara,-14.0958,-46.6317,87.62,3,22,4.97,BR,1659644069
470,Labuhan,-6.8844,112.2051,73.96,5,84,9.98,ID,1659644069
471,Saint-Leu,-21.15,55.2833,66.31,60,77,4.29,RE,1659644070
472,Champasak,14.75,106.0,73.4,100,99,0.4,LA,1659644070
473,Mazagão,-0.115,-51.2894,84.25,24,63,6.6,BR,1659644071
474,Kalmar,56.6616,16.3616,73.96,91,72,5.75,SE,1659643948
475,San Jose,37.3394,-121.895,95.92,40,41,9.22,US,1659644072
476,Kara-Tyube,44.6336,45.4369,81.43,0,32,8.28,RU,1659644073
477,Natal,-5.795,-35.2094,79.45,20,83,9.22,BR,1659643860
478,Bloomington,44.8408,-93.2983,87.33,0,41,6.91,US,1659643989
479,Sobolevo,54.4299,31.8996,66.33,60,78,5.88,RU,1659644074
480,Bundaberg,-24.85,152.35,60.22,100,99,1.14,AU,1659644074
481,Riyadh,24.6877,46.7219,98.74,12,23,4.12,SA,1659644075
482,Powell River,49.8496,-124.5361,71.08,22,62,4.07,CA,1659644075
483,Naze,28.3667,129.4833,78.75,100,85,8.32,JP,1659644076
484,Greensburg,40.3015,-79.5389,89.62,40,60,11.5,US,1659643781
485,Marstal,54.8562,10.5173,67.91,95,84,11.16,DK,1659644077
486,Pyaozerskiy,65.8333,31.1667,60.35,98,96,5.75,RU,1659644077
487,San Patricio,28.017,-97.5169,99.18,15,41,20.54,US,1659644078
488,Ürümqi,43.801,87.6005,77.95,0,36,6.71,CN,1659644078
489,Tzaneen,-23.8332,30.1635,64.8,3,48,3.87,ZA,1659644078
490,Desaguadero,-16.5656,-69.0417,56.59,2,29,13.56,PE,1659644079
491,Sulat,11.8103,125.4544,75.69,100,89,3.67,PH,1659644080
492,Thinadhoo,0.5333,72.9333,82.11,100,69,16.17,MV,1659644080
493,Banes,20.9625,-75.7186,85.59,100,63,14.81,CU,1659644081
494,Qasigiannguit,68.8193,-51.1922,44.85,100,99,5.08,GL,1659644081
495,Kutum,14.2,24.6667,80.26,66,51,2.55,SD,1659644082
496,Tadine,-21.55,167.8833,72.45,6,87,9.19,NC,1659644082
497,Ivanava,52.1451,25.5365,67.62,14,78,7.02,BY,1659644083
498,La Argentina,2.1961,-75.98,71.64,94,76,3.06,CO,1659644083
499,Shache,38.4167,77.2406,79.72,92,44,5.32,CN,1659644084
500,Hailey,43.5196,-114.3153,87.89,63,30,15.01,US,1659643850
501,Arak,34.0917,49.6892,82.35,38,21,4.97,IR,1659644084
502,Båtsfjord,70.6345,29.7185,58.78,97,77,4.61,NO,1659644085
503,Richards Bay,-28.783,32.0377,66.58,13,87,10.94,ZA,1659644085
504,Puerto Madryn,-42.7692,-65.0385,50.86,53,38,21.43,AR,1659644086
505,Torit,4.4133,32.5678,68.77,8,93,2.59,SS,1659643818
506,Chernyshevskiy,63.0128,112.4714,50.05,100,93,3.11,RU,1659644086
507,Mayna,54.1135,47.6231,68.07,100,70,4.29,RU,1659644087
508,Mahon,39.8885,4.2658,81.16,0,69,4.61,ES,1659643909
509,Dali,25.7,100.1833,63.61,100,94,2.48,CN,1659644088
510,Zeya,53.75,127.2667,64.76,100,95,6.58,RU,1659644088
511,Miranda,3.2499,-76.2281,82.53,52,67,2.68,CO,1659644089
512,Bagotville,-28.9833,153.4167,60.85,4,97,8.1,AU,1659644089
513,Zhicheng,30.2956,111.5047,80.51,4,83,2.42,CN,1659644090
514,Kindu,-2.95,25.95,74.77,2,53,2.55,CD,1659644090
515,Phak Hai,14.4574,100.3699,77.02,97,78,6.31,TH,1659644091
516,Saint Anthony,45.0205,-93.218,86.94,0,40,6.91,US,1659644092
517,Cherlak,54.155,74.8055,59.54,14,72,7.2,RU,1659644092
518,Venado Tuerto,-33.7456,-61.9688,59.77,52,23,9.84,AR,1659644093
519,Krasnyy Chikoy,50.3643,108.7512,55.63,57,94,1.83,RU,1659644093
520,Carutapera,-1.195,-46.02,80.47,80,81,7.96,BR,1659644094
521,Turan,16.0678,108.2208,78.78,20,89,3.44,VN,1659643923
522,Bosaso,11.2842,49.1816,92.16,61,41,18.37,SO,1659644095
523,Xuanzhou,30.9525,118.7553,84.97,52,75,2.86,CN,1659644095
524,College,64.8569,-147.8028,73.47,20,51,5.75,US,1659644096
525,Bokoro,12.3807,17.0568,75.2,95,79,12.41,TD,1659644096
526,Port Shepstone,-30.7414,30.455,64.92,24,86,7.65,ZA,1659644097
527,Tigil',57.8,158.6667,56.12,100,79,11.83,RU,1659644098
528,Boddam,57.4667,-1.7833,55.78,47,76,2.26,GB,1659644098
529,Evensk,61.95,159.2333,52.66,100,98,8.14,RU,1659644099
530,Ahero,-0.1746,34.9163,66.15,46,80,2.98,KE,1659644099
531,Trhové Sviny,48.8423,14.6392,74.71,8,53,5.3,CZ,1659643914
532,Turukhansk,65.8167,87.9833,50.56,51,78,2.46,RU,1659644055
533,Hongjiang,27.11,109.9956,76.57,80,94,2.28,CN,1659644100
534,Damara,4.9608,18.7035,71.89,100,96,2.39,CF,1659644101
535,Quatre Cocos,-20.2078,57.7625,70.09,25,72,16.82,MU,1659644102
536,Čáslav,49.911,15.3897,78.67,0,44,7.0,CZ,1659644102
537,Oranjestad,12.524,-70.027,85.95,20,74,20.71,AW,1659644103
538,Oktyabr'skiy,54.4815,53.471,68.36,97,63,1.97,RU,1659644103
539,Comodoro Rivadavia,-45.8667,-67.5,53.46,0,28,20.71,AR,1659643965
540,Cassilândia,-19.1133,-51.7342,90.73,100,18,5.66,BR,1659644104
541,Manaus,-3.1019,-60.025,91.9,40,55,8.05,BR,1659643896
542,Camalú,30.85,-116.0667,80.31,84,61,12.15,MX,1659644106
543,Caravelas,-17.7125,-39.2481,72.82,6,70,6.71,BR,1659644106
544,Rawson,-43.3002,-65.1023,49.33,30,42,23.17,AR,1659644107
545,Bauchi,10.5,10.0,76.75,100,74,2.57,NG,1659644107
546,Ol'ga,43.7444,135.2892,69.58,100,99,4.12,RU,1659644108
547,Tiarei,-17.5333,-149.3333,77.02,86,79,28.74,PF,1659644108
548,Vila do Maio,15.1333,-23.2167,79.59,36,78,9.28,CV,1659644109
549,Forest Park,39.2903,-84.5041,82.9,75,79,5.75,US,1659644110
550,Thabazimbi,-24.5917,27.4116,63.84,0,43,3.0,ZA,1659644110
551,Qujing,25.4833,103.7833,60.71,100,94,2.08,CN,1659644111
552,Porto-Novo,6.4965,2.6036,75.02,100,77,6.93,BJ,1659644111
553,Los Llanos de Aridane,28.6585,-17.9182,71.35,75,69,17.27,ES,1659644112
554,Wallaceburg,42.593,-82.3885,85.1,100,73,8.28,CA,1659643834
555,Feira de Santana,-12.2667,-38.9667,73.2,71,75,9.31,BR,1659643981
556,Luganville,-15.5333,167.1667,78.26,18,82,4.52,VU,1659644113
557,Ahipara,-35.1667,173.1667,51.49,0,89,3.76,NZ,1659644113
558,Nāhan,30.55,77.3,74.53,98,88,3.85,IN,1659644114
559,Krasnosel'kup,65.7,82.4667,57.54,62,62,9.37,RU,1659644115
560,Tazovsky,67.4667,78.7,58.21,100,64,10.38,RU,1659644115
561,Buenos Aires,-34.6132,-58.3772,53.98,0,61,4.61,AR,1659644116
562,Nabire,-3.3667,135.4833,75.51,95,92,2.53,ID,1659644116
563,Pareora,-44.4871,171.2132,45.18,100,76,8.21,NZ,1659644117
564,Bac Lieu,9.285,105.7244,78.01,100,83,10.25,VN,1659644118
